City,ConstructionTime,ConstructionCost,Rotation,LengthX,LengthY,Wall_num,Window_num,sDA,TotalElec,Light,Cooling,Heating,TerraceCost,WindowCost,ExtCost,IntCost,mesh1,mesh2,mesh3,mesh4,mesh5,mesh6,mesh7,mesh8,mesh9,mesh10,mesh11,mesh12,mesh13,mesh14,mesh15,mesh16,mesh17,mesh18,mesh19,mesh20,mesh21,mesh22,mesh23,mesh24,mesh25,mesh26,mesh27,mesh28,mesh29,mesh30,mesh31,mesh32,mesh33,mesh34,mesh35,mesh36,mesh37,mesh38,mesh39,mesh40,mesh41,mesh42,mesh43,mesh44,mesh45,mesh46,mesh47,mesh48,mesh49,mesh50,mesh51,mesh52,mesh53,mesh54,mesh55,mesh56,mesh57,mesh58,mesh59,mesh60,mesh61,mesh62,mesh63,mesh64
Ils-de-France,8,37634,0,8.84,7.62,14,12,84,22169,2369,1567,18233,0,12000,13458,12176,67,89,91,86,86,85,43,8,87,88,87,76,77,78,68,43,91,87,84,0,51,65,76,81,90,86,81,72,39,61,78,89,79,81,77,71,29,62,76,88,77,80,74,13,62,72,76,80,88,85,73,77,76,81,70,31,92,86,67,85,86,87,34,0
Ils-de-France,10,43440,0,8.84,8.84,15,13,70,25571,2486,1735,21350,0,13000,14419,16021,8,51,86,84,0,87,79,88,25,60,70,67,0,80,78,80,85,82,73,64,0,49,75,87,91,86,79,65,0,49,74,85,91,87,82,63,0,26,42,3,91,88,84,0,0,73,82,87,89,88,87,0,0,79,82,66,54,88,91,0,0,84,88,3
Ils-de-France,11,47290,0,10.06,8.84,15,13,72,25820,2490,1670,21660,13000,14419,16021,0,0,31,85,86,88,80,88,2,48,0,0,0,81,79,81,85,80,70,66,51,38,74,87,90,86,77,69,49,41,74,85,91,87,82,66,20,29,51,26,91,88,84,0,32,69,78,87,89,88,87,71,70,76,71,52,70,88,91,86,85,85,33,0,
Ils-de-France,12,49251,0,11.28,8.84,16,14,77,28044,2836,1761,23447,14000,15380,16021,0,0,0,61,89,89,79,87,8,53,37,0,79,81,79,82,85,79,67,54,63,26,69,86,90,85,75,61,53,29,69,85,91,87,81,73,47,0,43,30,91,87,84,79,41,62,76,87,89,88,87,85,75,74,70,53,72,89,91,90,89,87,47,1,
Ils-de-France,9,41172,0,9.91,7.62,13,13,84,22258,2142,1677,18439,13000,12496,12176,62,89,91,86,86,85,46,9,87,88,88,77,77,78,68,40,91,88,85,0,48,66,76,81,91,88,84,76,47,64,78,89,91,88,83,76,61,70,78,88,91,87,81,6,64,72,76,80,88,86,78,77,77,81,71,30,89,83,64,85,86,87,41,1,
Ils-de-France,11,46940,0,9.91,8.84,15,13,72,25637,2675,1749,21213,13000,14419,16021,68,89,91,91,90,85,44,9,89,88,87,87,86,81,59,45,91,87,84,82,79,72,0,86,86,72,1,64,65,63,0,83,84,71,38,0,14,41,0,1,83,77,73,27,48,45,80,87,88,82,82,43,73,75,77,80,16,69,87,10,84,87,79,88,
Ils-de-France,12,52801,0,10.06,10.06,16,13,72,25820,2490,1670,21660,13000,15380,16021,0,0,31,85,86,88,81,88,1,47,0,0,0,81,79,80,85,80,70,66,51,38,74,87,90,86,77,69,49,41,74,85,91,87,82,66,20,29,51,26,91,88,84,0,34,69,78,87,89,88,87,71,70,76,69,53,70,88,91,86,85,85,33,0,
Ils-de-France,14,54763,0,11.28,10.06,17,14,77,28045,2836,1761,23448,14000,16342,16021,0,0,0,61,89,89,79,87,8,53,37,0,79,81,79,82,85,79,67,55,63,26,69,86,90,85,75,61,53,29,70,85,91,87,81,73,44,0,46,27,91,87,84,79,37,63,75,87,89,88,87,85,75,74,70,53,72,89,91,90,89,87,47,1,
Ils-de-France,15,64296,0,12.5,10.06,14,22,80,41371,4177,2703,34490,0,22000,13458,28838,89,91,90,74,71,90,91,89,90,88,86,75,73,86,88,90,91,86,80,66,63,78,86,91,90,83,72,50,38,68,82,89,87,75,5,0,0,0,72,87,87,74,19,40,11,34,69,86,74,79,40,71,12,64,76,73,66,87,35,87,0,80,87,68
Ils-de-France,12,50222,0,11.13,8.84,15,15,75,28330,2955,2087,23288,15000,14419,17303,74,90,90,88,48,88,42,1,89,88,87,0,56,73,48,14,91,87,83,0,16,14,62,86,91,87,81,69,39,8,53,83,87,85,81,72,11,0,29,3,87,86,82,74,61,66,75,86,90,88,86,78,77,78,73,52,89,91,90,72,89,89,65,2,
Ils-de-France,14,56783,0,11.28,10.06,16,15,78,28804,3656,2143,23005,15000,15380,17303,88,78,88,66,88,66,80,89,81,79,79,67,0,74,85,88,86,60,9,37,0,79,86,91,84,65,14,47,71,81,87,91,30,44,0,33,76,83,87,91,86,76,59,2,80,85,87,91,58,74,77,0,85,87,88,88,5,60,88,0,89,91,90,72,
Ils-de-France,16,57783,0,11.28,11.28,16,16,84,30321,3226,2144,24950,16000,15380,17303,7,28,48,87,58,88,80,88,47,65,46,18,66,76,74,70,88,82,72,61,13,40,72,88,90,86,78,65,40,40,56,70,91,87,81,74,68,67,78,88,91,87,83,79,67,70,76,70,90,87,87,85,73,78,78,75,71,89,91,90,89,88,79,88,
Ils-de-France,18,71207,0,12.5,11.43,15,22,80,41374,4177,2705,34492,22000,14419,28838,89,91,90,74,71,90,91,89,90,88,86,75,73,86,88,90,91,86,80,66,63,78,86,91,90,83,72,50,38,68,82,89,87,75,5,0,0,0,72,87,87,74,21,40,12,34,70,86,74,79,40,71,12,64,76,73,66,87,35,87,0,80,87,68,
Ils-de-France,19,72528,0,11.28,13.72,14,23,81,44981,4957,3312,36712,23000,13458,30120,90,90,91,89,87,87,77,65,91,88,85,82,74,75,82,89,91,86,79,70,3,51,80,89,76,76,65,47,0,28,56,34,72,73,60,35,0,15,41,8,90,86,78,66,0,48,78,89,91,88,85,81,72,73,82,90,90,90,90,89,86,86,77,71,
Ils-de-France,15,64296,0,12.5,10.06,14,22,78,41371,4177,2703,34491,0,22000,13458,28838,89,91,90,74,71,90,91,89,90,88,86,76,74,86,88,90,91,86,80,66,63,78,86,91,90,83,72,49,41,68,82,89,87,74,5,0,0,0,72,87,87,74,19,40,11,34,69,86,74,79,40,71,12,64,76,73,66,87,35,87,0,80,87,68
Ils-de-France,17,70507,0,12.5,11.28,15,22,80,41540,4543,2733,34264,22000,14419,28838,89,90,91,89,87,86,74,68,91,88,86,82,71,69,76,87,90,85,78,69,0,36,66,80,71,73,61,42,0,11,14,0,74,75,66,50,0,39,71,87,90,86,80,72,3,21,41,32,91,88,86,83,75,74,79,87,89,90,91,90,87,87,74,67,
Ils-de-France,19,76718,0,12.5,12.35,16,22,80,41514,4543,2733,34238,22000,15380,28838,89,90,91,89,87,86,74,68,91,88,86,82,71,69,76,87,90,85,78,69,0,36,66,80,71,73,62,42,0,11,14,0,74,75,66,50,0,38,71,87,90,86,80,72,3,21,41,32,91,88,86,83,75,74,79,87,89,90,91,90,87,87,74,67,
Ils-de-France,21,80662,0,13.721682,12.35,17,23,69,43999,4952,2856,36190,23000,16342,30120,89,90,90,89,86,86,74,72,91,88,85,81,4,44,70,86,90,86,78,65,0,36,60,67,73,73,60,38,0,7,6,0,76,75,65,44,1,5,6,2,90,86,79,70,9,34,65,72,91,88,85,81,0,0,0,0,89,90,90,89,87,86,76,69,
Ils-de-France,23,71103,0,14.94,12.35,17,24,67,48075,5363,2980,39732,0,24000,16342,30761,90,90,90,0,87,85,63,6,91,87,84,0,65,64,75,87,90,86,77,0,4,42,73,87,74,73,59,0,0,16,24,1,77,75,62,0,0,14,26,7,90,86,79,67,25,44,73,87,91,87,84,0,66,68,77,87,90,90,90,0,88,86,64,2
Ils-de-France,19,72528,0,11.28,13.72,14,23,83,44978,4956,3311,36711,23000,13458,30120,90,90,91,89,87,87,77,65,91,88,85,82,74,75,82,89,91,86,79,70,3,51,80,89,76,76,65,49,0,29,55,34,72,73,60,35,0,15,41,7,90,86,78,65,0,51,78,89,91,88,85,81,72,73,82,90,90,90,90,89,86,86,77,71,
Ils-de-France,21,81439,0,12.5,13.72,15,25,81,44979,4956,3311,36712,25000,14419,30120,90,90,91,89,87,87,77,65,91,88,85,82,74,75,82,89,91,86,79,70,3,51,80,89,76,76,65,48,0,29,56,35,72,73,60,34,0,14,41,9,90,86,78,66,0,49,78,89,91,88,85,81,72,73,82,90,90,90,90,89,86,86,77,70,
Ils-de-France,23,92863,0,13.72,13.72,29,15,45,62258,8495,2811,50952,0,15000,27877,49986,10,83,88,87,0,60,82,19,84,74,71,72,1,15,61,82,86,50,57,44,0,0,48,86,52,34,8,6,0,0,16,32,0,6,0,0,0,0,0,0,60,30,16,18,0,8,0,50,80,55,70,69,30,67,30,79,13,81,88,87,39,88,76,31
Ils-de-France,25,107793,0,14.94,13.72,28,18,48,65855,8092,2924,54840,18000,26916,50627,26,85,89,77,76,89,85,30,84,67,66,56,51,68,65,82,7,6,2,2,0,1,8,6,78,37,0,0,0,0,20,76,55,43,0,0,0,0,34,47,88,67,0,1,0,0,60,87,83,60,69,29,21,63,45,82,72,81,86,16,7,86,29,86,
Ils-de-France,23,85091,0,12.5,14.94,16,26,70,48431,5479,3474,39478,26000,15380,30761,90,90,90,0,87,86,79,70,91,87,84,0,71,75,84,90,90,86,78,0,4,37,73,87,72,74,61,0,0,9,27,5,68,70,57,0,0,7,7,0,90,86,77,64,14,30,69,87,91,88,84,0,63,73,84,90,90,90,90,0,87,86,79,73,
Ils-de-France,25,93543,0,15.2388,13.995202,28,16,48,65778,8060,2931,54787,0,16000,26916,50627,25,84,89,81,79,89,85,29,84,68,69,60,56,70,66,82,7,6,4,5,0,1,7,6,78,36,0,0,0,0,20,77,55,51,0,0,0,0,37,47,88,73,0,1,0,0,60,87,83,74,69,30,19,61,45,82,7,85,86,15,7,86,15,86
Ils-de-France,27,98824,0,14.94,14.94,28,20,48,70308,9262,3342,57704,0,20000,26916,51908,15,85,88,79,77,88,85,29,85,71,70,63,56,69,67,84,85,47,43,15,13,28,16,84,15,17,4,0,0,3,6,11,9,16,0,0,0,0,0,0,85,44,31,14,0,16,8,85,85,66,63,50,41,61,61,85,33,84,88,78,76,88,84,44
Ils-de-France,2,12331,10,3.96,3.96,8,4,95,5186,498,495,4193,0,4000,7690,641,50,72,85,91,91,84,68,30,74,83,87,89,89,87,84,68,84,87,87,88,88,87,87,84,91,89,88,88,88,88,89,91,91,89,88,88,88,88,89,91,88,88,88,88,88,88,87,85,74,85,87,89,89,87,83,67,46,72,85,91,91,84,70,20
Ils-de-France,3,16176,10,3.96,5.18,10,4,92,7199,655,550,5994,0,4000,9613,2563,21,53,57,53,12,72,90,88,55,75,72,64,59,81,86,86,82,84,81,74,79,76,81,79,90,87,85,83,85,83,86,90,90,87,86,85,84,83,86,90,87,87,87,87,84,82,83,82,73,85,88,88,84,77,74,43,33,75,90,90,74,59,51,4
Ils-de-France,3,18817,10,3.96,6.4,10,6,88,8980,811,735,7434,0,6000,9613,3204,86,85,78,15,13,23,88,89,90,87,82,29,48,64,86,86,91,88,84,71,43,62,80,80,91,88,86,84,82,83,86,90,90,88,86,85,85,86,87,90,87,87,87,86,85,87,86,85,74,87,89,86,86,89,86,69,33,82,91,80,80,91,81,21
Ils-de-France,4,20817,10,3.96,7.62,10,8,94,10428,959,975,8494,0,8000,9613,3204,31,76,87,90,91,91,90,87,84,87,88,88,88,87,86,84,91,90,89,88,86,85,83,80,91,91,89,88,86,83,79,73,91,91,89,87,86,81,72,51,91,90,88,87,85,46,51,21,82,87,87,87,86,77,83,81,20,72,85,89,89,80,86,89
Ils-de-France,3,16253,10,5.18,3.96,8,6,95,7673,656,690,6327,0,6000,7690,2563,44,80,91,92,91,89,73,32,74,86,89,90,90,88,84,69,86,88,89,89,89,87,86,83,91,89,88,88,87,87,88,90,91,89,88,88,85,85,87,91,85,87,88,87,82,76,83,87,72,85,88,88,73,81,85,90,28,75,90,90,77,79,82,86
Ils-de-France,3,18137,10,5.18,5.18,11,5,77,8709,863,627,7219,0,5000,10574,2563,1,0,1,16,36,0,90,88,3,34,43,46,34,22,86,84,31,67,69,66,60,49,80,78,76,82,81,79,77,72,69,62,90,87,86,85,85,86,87,90,90,88,87,87,87,87,87,90,82,86,88,89,89,88,85,76,50,79,89,91,91,89,74,35
Ils-de-France,4,23303,10,5.18,6.4,12,6,81,11218,1090,779,9349,0,6000,11535,5768,33,81,90,91,91,88,66,17,82,86,87,88,87,85,77,52,91,88,86,85,83,80,71,51,89,85,79,74,67,76,11,1,88,85,80,76,76,78,44,0,42,74,75,75,78,83,73,50,4,47,67,79,84,84,84,87,0,0,23,75,89,88,84,88
Ils-de-France,5,25264,10,5.18,7.62,13,7,84,12681,1257,920,10503,0,7000,12496,5768,32,64,59,46,0,17,83,89,74,79,72,63,32,62,81,84,88,85,80,75,69,80,82,88,90,87,83,78,72,77,81,88,91,87,85,82,75,74,77,76,90,88,87,85,80,77,69,29,83,87,89,88,86,79,55,0,38,86,91,91,90,71,7,0
Ils-de-France,4,23342,10,5.18,6.4,11,7,75,11443,1078,893,9472,0,7000,10574,5768,0,0,2,4,14,0,89,87,0,0,12,22,0,0,84,82,15,63,57,56,32,2,81,74,88,84,77,77,77,61,86,89,89,84,77,83,82,77,85,89,91,88,86,86,86,86,88,91,87,87,88,88,88,87,86,82,58,81,89,91,91,89,78,38
Ils-de-France,5,28827,10,6.4,6.4,13,8,78,14341,1344,931,12066,0,8000,12496,8331,42,86,91,90,86,53,13,4,84,87,88,87,69,58,44,8,91,88,86,84,33,56,67,62,91,88,85,80,68,66,74,87,88,86,82,79,73,77,85,90,54,75,72,61,20,75,86,90,81,81,69,28,26,64,77,76,88,88,51,5,2,31,38,0
Ils-de-France,6,30789,10,6.401682,7.619607,14,9,84,16207,1576,1085,13546,0,9000,13458,8331,50,86,91,91,87,64,81,88,87,87,88,87,85,75,78,83,91,88,86,83,79,71,31,6,91,87,84,79,72,60,42,45,90,83,73,70,69,71,83,89,74,78,72,70,64,72,77,77,9,57,73,76,72,70,60,5,0,4,63,87,87,68,11,2
Ils-de-France,7,35031,10,8.839607,6.4,13,11,78,19335,1796,1384,16155,0,11000,12496,11535,90,82,62,86,86,87,25,0,87,85,74,81,81,83,68,8,91,86,79,68,66,77,75,66,91,87,82,0,0,73,80,87,91,88,84,72,60,70,79,87,91,88,86,79,66,59,20,19,87,88,88,1,0,77,22,11,66,88,91,86,0,84,0,0
Ils-de-France,8,37831,10,10.06,6.4,13,11,78,19334,1796,1384,16154,11000,12496,11535,90,82,62,86,86,87,24,0,87,85,74,81,81,83,68,10,91,86,79,68,65,77,75,66,91,87,82,0,0,73,80,87,91,88,84,72,60,70,79,87,91,88,86,79,66,59,20,19,87,88,88,1,0,77,22,11,66,88,91,86,0,84,0,0,
Ils-de-France,5,25303,10,5.18,7.62,12,8,75,12983,1254,1022,10707,0,8000,11535,5768,63,89,91,91,90,55,0,0,83,88,90,89,84,75,13,0,89,88,88,86,72,63,9,2,91,89,87,85,61,44,3,4,91,88,87,85,59,14,0,15,89,88,88,86,52,53,0,0,81,88,90,88,33,65,79,89,51,87,91,90,39,59,79,87
Ils-de-France,6,29789,10,6.4,7.62,14,8,84,16282,1603,1092,13586,0,8000,13458,8331,60,88,91,91,89,71,4,2,85,88,88,87,82,76,59,7,90,88,86,83,68,70,69,66,91,87,83,78,67,67,72,87,87,84,78,71,69,67,75,87,63,74,66,59,75,75,74,62,82,78,31,37,84,80,63,7,89,84,16,32,89,79,10,0
Ils-de-France,7,33109,10,7.62,7.62,13,11,83,18783,1872,1345,15566,0,11000,12496,9613,2,20,81,89,60,71,88,92,21,69,79,81,55,0,0,0,79,79,75,70,35,44,42,24,89,80,71,70,68,72,77,71,90,83,77,74,76,81,86,90,82,82,80,76,81,85,87,91,64,82,86,85,86,87,88,87,16,84,90,90,90,91,87,59
Ils-de-France,8,37672,10,7.62,8.839607,13,13,83,22416,2256,1609,18551,0,13000,12496,12176,66,88,91,91,90,85,88,92,89,88,88,87,86,84,85,86,91,87,85,83,80,78,73,70,86,79,11,75,68,2,76,85,86,78,57,55,16,46,74,86,85,80,73,70,42,64,81,87,24,70,77,79,32,68,80,79,0,22,82,89,7,47,85,88
Ils-de-France,9,40822,10,10.06,7.62,13,13,83,22395,2140,1651,18603,13000,12496,12176,89,82,61,85,86,87,31,0,87,86,75,78,76,81,71,32,91,87,80,7,58,74,78,80,91,88,82,75,60,71,80,89,91,88,83,76,62,66,79,89,91,88,85,41,0,69,76,81,88,88,87,78,0,79,68,29,68,88,91,87,0,85,27,1,
Ils-de-France,11,42706,10,11.28,7.62,16,12,78,24061,2446,1482,20133,12000,15380,12176,0,0,1,9,89,89,52,0,2,50,33,9,80,82,74,38,78,76,63,44,61,74,77,81,90,84,75,67,62,67,77,88,91,86,81,73,60,61,75,88,91,87,85,80,46,67,74,81,88,88,88,86,80,79,69,38,70,89,91,90,89,88,37,6,
Ils-de-France,7,34993,10,8.84,6.4,14,10,84,19060,1850,1266,15944,0,10000,13458,11535,63,90,91,86,86,85,27,4,86,88,88,80,80,79,62,30,90,87,85,0,63,64,63,70,91,87,83,76,40,59,67,86,88,85,79,71,54,64,71,86,81,82,74,4,71,74,71,66,84,82,67,80,80,83,69,20,89,79,43,85,87,87,21,2
Ils-de-France,8,37634,10,8.84,7.62,14,12,83,22167,2383,1543,18240,0,12000,13458,12176,66,89,91,86,86,85,44,4,87,88,87,76,76,78,69,40,91,87,84,0,48,66,76,81,90,86,80,72,35,62,78,89,78,81,76,69,41,64,78,88,77,80,73,7,63,73,77,80,88,85,74,77,77,81,72,31,92,86,69,86,86,87,45,2
Ils-de-France,10,43440,10,8.84,8.84,15,13,69,25589,2487,1703,21398,0,13000,14419,16021,5,44,86,84,0,87,79,88,14,56,72,68,0,81,79,81,85,81,72,62,0,49,76,87,91,86,79,64,0,49,74,85,91,87,82,62,0,32,47,9,91,88,84,0,0,72,81,87,89,88,87,0,0,78,82,63,53,89,91,0,0,83,88,2
Ils-de-France,11,47290,10,10.06,8.84,15,13,70,25828,2488,1678,21662,13000,14419,16021,0,0,26,85,86,88,81,88,1,46,0,0,0,82,80,81,85,81,70,65,58,31,74,87,90,86,78,68,51,47,74,85,91,87,82,69,23,24,47,24,91,88,84,0,30,68,79,87,89,88,87,69,69,75,70,46,70,88,91,86,85,85,41,6,
Ils-de-France,12,49251,10,11.28,8.84,16,14,77,28057,2835,1763,23459,14000,15380,16021,0,0,0,64,89,89,80,87,10,53,31,0,79,82,79,81,85,79,67,57,66,21,66,86,90,85,75,62,52,26,68,85,91,87,81,74,44,0,47,24,91,87,84,79,36,61,76,87,89,88,87,85,75,75,72,55,73,89,91,90,89,87,42,7,
Ils-de-France,9,41172,10,9.91,7.62,13,13,88,22256,2142,1642,18472,13000,12496,12176,64,89,91,86,86,85,43,4,87,88,87,76,76,78,69,42,91,88,85,0,50,67,77,81,91,88,84,76,50,62,78,89,91,88,83,75,60,69,79,89,91,87,81,16,65,73,77,80,88,86,77,77,78,81,71,30,89,83,64,86,86,87,46,2,
Ils-de-France,11,46940,10,9.91,8.84,15,13,72,25644,2675,1719,21251,13000,14419,16021,68,89,91,91,90,85,28,7,89,88,87,87,86,81,59,48,91,87,84,81,78,72,0,86,86,70,6,62,65,61,0,83,84,70,39,0,8,33,0,2,83,78,72,34,48,49,80,87,88,82,82,45,73,76,79,81,33,69,87,11,85,87,79,88,
Ils-de-France,12,52801,10,10.06,10.06,16,13,70,25832,2488,1677,21667,13000,15380,16021,0,0,26,85,86,88,81,88,1,47,0,0,0,81,79,81,85,81,70,65,58,31,74,87,90,86,78,68,51,47,74,85,91,87,82,69,23,24,47,24,91,87,84,0,33,68,79,87,89,88,87,69,69,75,70,46,70,88,91,86,85,85,41,6,
Ils-de-France,14,54763,10,11.28,10.06,17,14,77,28055,2835,1764,23457,14000,16342,16021,0,0,0,64,89,89,80,87,10,53,31,0,79,82,79,81,85,79,67,57,66,21,66,86,90,85,75,62,52,26,68,85,91,87,81,74,44,0,47,24,91,87,84,79,36,61,76,87,89,88,87,85,75,75,70,52,72,89,91,90,89,87,47,7,
